Token,Coefficient,OddsRatio
pharmacokinetics,4.524658503010067,92.26441242897612
radical,3.639558532034984,38.075024111144494
hemophilia,3.3159966723221146,27.54983846719747
hyperplasia,3.315949817726158,27.548547660887767
androgen,2.9763745380011493,19.616568445536224
testosterone,2.8357867834112875,17.0438048093713
dos,2.8023636833522043,16.483562683231
sex,2.7999496640609403,16.44381903519193
adult,2.7549311131027916,15.71995796637541
castration,2.7322648371463307,15.36765286661999
antigen,2.681209017560534,14.60273759378128
hypogonadism,2.5859531435154888,13.275936934606221
bioavailability,2.4411922760750797,11.486727932613974
japanese,2.4177050330783345,11.220080032363494
inguinal,2.3745529042011295,10.746207527622165
14c,2.357670056347727,10.566303857229883
deprivation,2.328938194983911,10.267034154947757
bioequivalence,2.285534002021377,9.830934561509105
acute,2.064744714925383,7.88328515571514
sport,2.021325659399492,7.5483248117183654
benign,2.0105629694375,7.4675201498017705
athlete,1.9648883068139478,7.134115713542714
dysfunction,1.9477006580469616,7.012544790370047
muscle,1.9089140975629175,6.745759583073799
resistant,1.8913319827918529,6.628191440796812
centre,1.8753375263620602,6.52302044016629
muscular,1.8610484335856148,6.430475164567044
hernia,1.858578436253989,6.414611507729704
metabolism,1.8246270093231542,6.2004818658114775
substance,1.7791328344694344,5.924716480414441
haemophilia,1.7395568089383784,5.694818970440727
characteristic,1.734689618549167,5.667168546803061
pet,1.716085125347616,5.562708474476433
diabetes,1.715033879609176,5.556863773545185
fasting,1.7097797383398687,5.527743793499627
formulation,1.6839266353117472,5.38666597117752
obstructive,1.6618077041369368,5.268826720771013
player,1.593676801104764,4.921812225028811
concentration,1.5696862528457263,4.805140358134726
damage,1.5404606226944455,4.666739382053899
adenocarcinoma,1.5249884494453887,4.595090493156475
dosing,1.5209623310858598,4.576627307383997
pharmacodynamic,1.5082316674644574,4.518733102344548
excretion,1.5075310055684894,4.515568107166929
interaction,1.505736896968312,4.507473950660214
repair,1.5042291926070617,4.50068313308561
impotence,1.5039404934625515,4.499383977256988
prednisone,1.4890534980769816,4.432897786456659
understanding,1.4886954536950288,4.431310896413932
refractory,1.4676309127235463,4.338943618998227
absorption,1.4506321447785038,4.265810272714503
escalating,1.4428567420664515,4.232770495195476
substrate,1.43961087085437,4.219053740749905
dystrophy,1.4393227584965085,4.217838354321045
ct,1.4343298541661031,4.196831576991529
pediatric,1.4276458112084738,4.168873315644446
balance,1.4168127427384942,4.123955364473066
scan,1.4160843440238993,4.120952574433504
pharmacodynamics,1.4156074005147172,4.118987581484046
radiation,1.4082841793129484,4.088933504938257
rectal,1.399070789531464,4.051433582736248
protein,1.3933248505166196,4.028221045224649
mcrpc,1.3926468697256411,4.025490914326902
tomography,1.3861732899802945,3.999515744756874
fed,1.381469343637477,3.9807464168611775
ingestion,1.377811740177914,3.966213019899115
ed,1.371545414182757,3.9414371440800196
fixed,1.3706718193029788,3.937995428323499
metabolite,1.3606737136250815,3.898819104728873
vardenafil,1.358092976138459,3.8887702484191147
intravenous,1.350922714455301,3.860986475609419
hiv,1.3494199307178871,3.8551886054871027
intermittent,1.339055231705646,3.8154370980256163
hypospadias,1.336228266325374,3.8046662210602036
surveillance,1.3234548907614334,3.7563768561888704
estramustine,1.3161608888214655,3.7290775178585145
androgenetic,1.3141769471695166,3.721686579666794
infusion,1.3133406405142882,3.718575409539018
tamsulosin,1.31177224594179,3.7127477872494516
amino,1.3110223305892232,3.709964584397292
transurethral,1.307485670307826,3.696866874733176
hormone,1.2977055007784817,3.6608871208106715
germ,1.2922568035413622,3.64099429946577
role,1.287957254103182,3.625373270229175
duchenne,1.2860846777542068,3.618590834283615
abiraterone,1.2857780883960326,3.617481582893262
urine,1.2760991278130875,3.5826370228306517
intermediate,1.2740444543297924,3.5752834307419503
urethral,1.2585003683837015,3.5201386160126553
castrate,1.2493988664162659,3.4882454256029467
testis,1.2389910380760716,3.4521286406759537
adt,1.2278683059595967,3.4139442893937613
slow,1.2176823625649238,3.379346550549846
radioactive,1.2165949043502786,3.375673649808313
turp,1.2139243232324757,3.366670666448727
relative,1.197774624592561,3.3127366311923003
sildenafil,1.1977499148565676,3.3126547753560502
enzyme,1.1865369043400136,3.2757174190200744
docetaxel,1.1830097970622075,3.264183964094628
food,1.1639121868151536,3.202437334177674
imaging,1.1617492057178878,3.195518008641504
gland,1.1589920691176205,3.186719663676134
