Token,Coefficient
contraceptive,-3.1727675761625798
radical,2.806680776898265
estrogen,-2.4991002594900564
hemophilia,2.4927931064448923
inguinal,2.480488009124597
sex,2.3625127118337583
hyperplasia,2.359974639083744
fibromyalgia,-2.2782095049051807
antigen,2.276211666660998
hypogonadism,2.2182514336185783
haemophilia,2.164426327155027
her2,-2.0808045436097715
androgen,1.969084186806595
deprivation,1.9673876652478137
osteoporosis,-1.9203833619524684
castration,1.9088239554445143
mammography,-1.8502071414523782
estramustine,1.8304534345778756
cpps,1.828831627039509
survivor,-1.7918049209795128
testosterone,1.7870074068446744
azoospermia,1.7191218250423521
peritoneal,-1.7072236359243271
capecitabine,-1.6910769274520994
arousal,-1.68824769578952
fetus,-1.6753101108553532
family,-1.6736619824487502
pharmacokinetics,1.6707842662075358
prolapse,-1.6527308486482573
vulvar,-1.6469480074219691
impotence,1.6399464116615936
pain,-1.6273681481976086
hernia,1.6265468087604849
understanding,1.6105350773620153
excellent,1.5918019583679126
germ,1.5871803333336094
ace,-1.5868433520607692
income,-1.580266630409826
epidemiological,1.5798561247818546
childbearing,-1.5747519797443492
obstructive,1.5537417190911416
iron,-1.5531577272816213
surveillance,1.5515309335868706
progesterone,-1.5423505232669708
hypospadias,1.5262628393663478
recurrent,-1.5242538775225745
adenocarcinoma,1.5195821301293906
urologist,1.5167294171050654
postmenopause,-1.5111364567130647
entering,1.4935816520114353
antenatal,-1.4820497714866627
pediatric,1.480183136998001
induction,-1.4737321024721801
japanese,1.4650036639999295
transurethral,1.463104716157291
adt,1.4457751199818105
fezolinetant,-1.4372811334403932
depression,-1.4334724877310152
testis,1.4334598298538082
caudal,1.432116454239466
sport,1.427237649718098
doxorubicin,-1.4170804732925095
centre,1.4140665651703825
lactating,-1.410425555257076
facial,-1.403965428412117
partum,-1.403782650235474
postoperative,-1.4037545736917258
reproductive,-1.40134956503662
rectal,1.3936243555954368
infertility,-1.393367021715371
negative,-1.3858029910574148
caesarean,-1.3750414945239398
platinum,-1.3734506271847846
dance,-1.368094494972953
unspecified,-1.360909500268518
epithelial,-1.3587344583444905
gynecological,-1.3567220833126146
gelesis200,1.3511750928722774
intermittent,1.3486582016717474
feel,1.3464154414275786
peyronie,1.340829502295941
pudendal,1.338330171372642
folic,-1.3365794791888996
escalating,1.335827770088407
turp,1.3340242231806871
tamoxifen,-1.3260252844488447
intermediate,1.321932454542564
couple,1.3195521260933307
observe,-1.3170183028945839
nervosa,-1.3048176193469587
dryness,-1.3043384338505013
muscular,1.302855050751513
lumpectomy,-1.297621913989248
attenuated,1.2963689654483679
sui,-1.2924834675081975
gdc,-1.287393842101045
selenium,1.2857114366506195
tdf,-1.2812330183221512
endocrine,-1.2808096062668575
ingestion,1.2800871042306008
enzyme,1.2776941598121279
gastrointestinal,-1.2725779419088536
spermatozoon,1.271792699249165
oh,-1.2715410879453777
vaginally,-1.269525794387317
eating,-1.265161911863902
player,1.262258809890747
cyclophosphamide,-1.2581420707531754
athlete,1.254523183905334
nocturnal,1.2521148183494384
third,-1.2516950501534099
robot,1.2482291352642931
turner,-1.2481767158538195
abortion,-1.246821477158031
suicide,1.2459960693654573
transfer,-1.2417397698119343
voluntary,1.2407993343352213
robotic,1.2399354970701582
calcitriol,1.2397935588857163
